question,summary_answer,difficulty,intent,filename
mapping input data in Evidently,The article details how to use the `DataDefinition` object to map input data correctly for data evaluations in Evidently.,beginner,text,docs/library/data_definition.mdx
define column types in DataDefinition,"It outlines the various column types that can be defined in a `DataDefinition`, including categorical, numerical, text, and datetime columns.",beginner,text,docs/library/data_definition.mdx
create Dataset object in Evidently,"To create a `Dataset` object, you can use `Dataset.from_pandas` with a specified `DataDefinition` to ensure correct data processing.",beginner,code,docs/library/data_definition.mdx
DataDefinition manual mapping examples,"The article provides examples of how to manually define a `DataDefinition`, including specific columns for text, numerical, and categorical data.",intermediate,code,docs/library/data_definition.mdx
default column mappings in Evidently,"It describes how automatic mapping works for different column types if no explicit mapping is given, detailing the defaults for numerical, categorical, and datetime columns.",intermediate,text,docs/library/data_definition.mdx
pandas.DataFrame to Dataset object,"You can directly use a `pandas.DataFrame` with the `report.run()` method, but it's recommended to create a `Dataset` object for clarity.",intermediate,code,docs/library/data_definition.mdx
importance of ID and timestamp columns,The article highlights the significance of correctly identifying ID and timestamp columns for accurate evaluations and their respective roles.,beginner,text,docs/library/data_definition.mdx
multiple regression mapping in DataDefinition,It shows how to set up regression checks by mapping target and prediction columns within the `DataDefinition` for regression scenarios.,advanced,code,docs/library/data_definition.mdx
mapping for LLM evaluations,"For LLM evaluations, you can specify text columns in the `DataDefinition` to ensure proper assessment of text data.",intermediate,code,docs/library/data_definition.mdx
binary vs multiclass classification mapping,The article discusses the differences in mapping for binary versus multiclass classification scenarios within the `DataDefinition` framework.,advanced,text,docs/library/data_definition.mdx
automated vs manual column mapping,It explains the pros and cons of automated column mapping versus manual mapping for ensuring accurate data evaluations in Evidently.,intermediate,text,docs/library/data_definition.mdx
how to evaluate text data with descriptors,"Descriptors are used to compute scores or labels for text data evaluations, allowing for both built-in and custom evaluations across various text statistics.",beginner,text,docs/library/descriptors.mdx
using python to create descriptors,The article provides step-by-step Python code to create and use descriptors within a Dataset for evaluating text data.,beginner,code,docs/library/descriptors.mdx
custom descriptors in text evaluation,You can create custom descriptors using LLM prompts or Python functions to tailor evaluations to specific needs.,intermediate,text,docs/library/descriptors.mdx
example of descriptors for sentiment evaluation,"The text includes examples that define sentiment descriptors for evaluating responses in a dataset, showing how to check for sentiments in responses.",intermediate,code,docs/library/descriptors.mdx
available built-in descriptors,"The article lists several built-in descriptors like Sentiment, TextLength, and IncludesWords for evaluating various aspects of text data.",beginner,text,docs/library/descriptors.mdx
